geography	year	topic	category	sub_category	value_description	value
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - overview	$1 - $399	Count of persons aged 15 years and over	643
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - overview	$400 - $799	Count of persons aged 15 years and over	774
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - overview	$800 - $1,499	Count of persons aged 15 years and over	1136
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - overview	$1,500 - $1,999	Count of persons aged 15 years and over	524
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - overview	$2,000 or more	Count of persons aged 15 years and over	575
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - overview	Total Personal Income not stated	Count of persons aged 15 years and over	857
Carlton	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	5479
Carlton	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	848
Carlton	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	1302
Carlton	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	1033
Carlton	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	1023
Carlton	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	1016
Carlton	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	811
Carlton	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	913
Carlton	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	960
Carlton	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	645
Carlton	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	599
Carlton	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	351
Carlton	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	624
Carlton	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	443
Carlton	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	1863
Docklands	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	1694
Docklands	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	227
Docklands	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	344
Docklands	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	356
Docklands	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	338
Docklands	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	427
Docklands	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	468
Docklands	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	653
Docklands	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	822
Docklands	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	758
Docklands	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	674
Docklands	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	479
Docklands	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	904
Docklands	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	677
Docklands	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	1370
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	235
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	87
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	152
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	127
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	153
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	182
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	207
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	293
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	373
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	359
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	357
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	253
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	518
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	573
East Melbourne	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	583
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	409990
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	166439
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	256956
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	282978
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	269870
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	255302
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	266076
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	304157
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	315238
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	220585
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	182581
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	124478
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	186559
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	124973
Greater Melbourne	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	299327
Kensington	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	640
Kensington	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	322
Kensington	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	561
Kensington	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	549
Kensington	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	554
Kensington	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	464
Kensington	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	491
Kensington	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	667
Kensington	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	817
Kensington	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	827
Kensington	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	719
Kensington	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	509
Kensington	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	916
Kensington	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	509
Kensington	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	793
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	9912
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	1236
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	1832
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	2106
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	1972
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	2152
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	1903
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	2062
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	2194
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	1578
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	1306
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	884
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	1455
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	926
Melbourne (CBD)	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	4624
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	24903
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	4537
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	6933
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	6509
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	6347
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	6710
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	6238
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	7764
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	9133
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	7337
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	6409
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	4513
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	7970
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	5921
City of Melbourne	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	16001
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	2203
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	519
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	1050
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	899
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	797
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	821
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	681
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	797
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	961
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	767
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	633
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	476
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	763
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	457
North Melbourne	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	1715
Parkville	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	1115
Parkville	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	660
Parkville	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	690
Parkville	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	396
Parkville	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	359
Parkville	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	395
Parkville	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	288
Parkville	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	318
Parkville	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	413
Parkville	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	324
Parkville	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	289
Parkville	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	160
Parkville	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	302
Parkville	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	283
Parkville	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	941
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	501
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	142
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	186
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	150
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	176
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	214
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	232
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	381
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	518
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	436
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	422
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	316
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	586
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	695
South Yarra (inc. Melbourne Remainder)	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	859
Southbank	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	2489
Southbank	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	382
Southbank	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	590
Southbank	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	649
Southbank	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	671
Southbank	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	778
Southbank	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	901
Southbank	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	1328
Southbank	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	1611
Southbank	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	1276
Southbank	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	1097
Southbank	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	863
Southbank	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	1564
Southbank	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	1167
Southbank	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	2446
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	Negative/Nil income	Count of persons aged 15 years and over	622
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$1 - $149	Count of persons aged 15 years and over	143
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$150 - $299	Count of persons aged 15 years and over	239
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$300 - $399	Count of persons aged 15 years and over	261
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$400 - $499	Count of persons aged 15 years and over	245
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$500 - $649	Count of persons aged 15 years and over	254
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$650 - $799	Count of persons aged 15 years and over	275
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$800 - $999	Count of persons aged 15 years and over	341
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$1,000 - $1,249	Count of persons aged 15 years and over	461
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$1,250 - $1,499	Count of persons aged 15 years and over	334
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$1,500 - $1,749	Count of persons aged 15 years and over	318
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$1,750 - $1,999	Count of persons aged 15 years and over	206
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$2,000 - $2,999	Count of persons aged 15 years and over	351
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	$3,000 or more	Count of persons aged 15 years and over	224
West Melbourne (Residential)	2016	Residents: Income and employment	Personal income - detailed	Total Personal income not stated	Count of persons aged 15 years and over	857
East Melbourne	2016	Households: Dwellings	Internet access	Internet not accessed from dwelling	Count of occupied private dwellings	110
Docklands	2016	Residents: Income and employment	Industry of employment	Rental hiring and real estate services	Count of employed persons aged 15 years and over	157
Carlton	2016	Residents: Income and employment	Industry of employment	Agriculture forestry and fishing	Count of employed persons aged 15 years and over	15
Carlton	2016	Residents: Income and employment	Industry of employment	Mining	Count of employed persons aged 15 years and over	0
Carlton	2016	Residents: Income and employment	Industry of employment	Manufacturing	Count of employed persons aged 15 years and over	160
Carlton	2016	Residents: Income and employment	Industry of employment	Electricity gas water and waste services	Count of employed persons aged 15 years and over	38
Carlton	2016	Residents: Income and employment	Industry of employment	Construction	Count of employed persons aged 15 years and over	161
Carlton	2016	Residents: Income and employment	Industry of employment	Wholesale trade	Count of employed persons aged 15 years and over	94
Carlton	2016	Residents: Income and employment	Industry of employment	Retail trade	Count of employed persons aged 15 years and over	580
Carlton	2016	Residents: Income and employment	Industry of employment	Accommodation and food services	Count of employed persons aged 15 years and over	940
Carlton	2016	Residents: Income and employment	Industry of employment	Transport postal and warehousing	Count of employed persons aged 15 years and over	132
Carlton	2016	Residents: Income and employment	Industry of employment	Information media and telecommunications	Count of employed persons aged 15 years and over	212
Carlton	2016	Residents: Income and employment	Industry of employment	Financial and insurance services	Count of employed persons aged 15 years and over	278
Carlton	2016	Residents: Income and employment	Industry of employment	Rental hiring and real estate services	Count of employed persons aged 15 years and over	101
Carlton	2016	Residents: Income and employment	Industry of employment	Professional scientific and technical services	Count of employed persons aged 15 years and over	1086
Carlton	2016	Residents: Income and employment	Industry of employment	Administrative and support services	Count of employed persons aged 15 years and over	180
Carlton	2016	Residents: Income and employment	Industry of employment	Public administration and safety	Count of employed persons aged 15 years and over	276
Carlton	2016	Residents: Income and employment	Industry of employment	Education and training	Count of employed persons aged 15 years and over	806
Carlton	2016	Residents: Income and employment	Industry of employment	Health care and social assistance	Count of employed persons aged 15 years and over	710
Carlton	2016	Residents: Income and employment	Industry of employment	Arts and recreation services	Count of employed persons aged 15 years and over	214
Carlton	2016	Residents: Income and employment	Industry of employment	Other services	Count of employed persons aged 15 years and over	143
Carlton	2016	Residents: Income and employment	Industry of employment	Inadequately described/ Not stated	Count of employed persons aged 15 years and over	269
Docklands	2016	Residents: Income and employment	Industry of employment	Agriculture forestry and fishing	Count of employed persons aged 15 years and over	10
Docklands	2016	Residents: Income and employment	Industry of employment	Mining	Count of employed persons aged 15 years and over	9
Docklands	2016	Residents: Income and employment	Industry of employment	Manufacturing	Count of employed persons aged 15 years and over	218
Docklands	2016	Residents: Income and employment	Industry of employment	Electricity gas water and waste services	Count of employed persons aged 15 years and over	55
Docklands	2016	Residents: Income and employment	Industry of employment	Construction	Count of employed persons aged 15 years and over	193
Docklands	2016	Residents: Income and employment	Industry of employment	Wholesale trade	Count of employed persons aged 15 years and over	184
Docklands	2016	Residents: Income and employment	Industry of employment	Retail trade	Count of employed persons aged 15 years and over	444
Docklands	2016	Residents: Income and employment	Industry of employment	Accommodation and food services	Count of employed persons aged 15 years and over	573
Docklands	2016	Residents: Income and employment	Industry of employment	Transport postal and warehousing	Count of employed persons aged 15 years and over	186
Docklands	2016	Residents: Income and employment	Industry of employment	Information media and telecommunications	Count of employed persons aged 15 years and over	215
Docklands	2016	Residents: Income and employment	Industry of employment	Financial and insurance services	Count of employed persons aged 15 years and over	646
Docklands	2016	Residents: Income and employment	Industry of employment	Professional scientific and technical services	Count of employed persons aged 15 years and over	1350
Docklands	2016	Residents: Income and employment	Industry of employment	Administrative and support services	Count of employed persons aged 15 years and over	209
Parkville	2016	Households: Dwellings	Internet access	Not stated	Count of occupied private dwellings	53
Docklands	2016	Residents: Income and employment	Industry of employment	Public administration and safety	Count of employed persons aged 15 years and over	248
Docklands	2016	Residents: Income and employment	Industry of employment	Education and training	Count of employed persons aged 15 years and over	289
Docklands	2016	Residents: Income and employment	Industry of employment	Health care and social assistance	Count of employed persons aged 15 years and over	351
Docklands	2016	Residents: Income and employment	Industry of employment	Arts and recreation services	Count of employed persons aged 15 years and over	125
Docklands	2016	Residents: Income and employment	Industry of employment	Other services	Count of employed persons aged 15 years and over	137
Docklands	2016	Residents: Income and employment	Industry of employment	Inadequately described/ Not stated	Count of employed persons aged 15 years and over	257
East Melbourne	2016	Residents: Income and employment	Industry of employment	Agriculture forestry and fishing	Count of employed persons aged 15 years and over	11
East Melbourne	2016	Residents: Income and employment	Industry of employment	Mining	Count of employed persons aged 15 years and over	12
East Melbourne	2016	Residents: Income and employment	Industry of employment	Manufacturing	Count of employed persons aged 15 years and over	104
East Melbourne	2016	Residents: Income and employment	Industry of employment	Electricity gas water and waste services	Count of employed persons aged 15 years and over	20
East Melbourne	2016	Residents: Income and employment	Industry of employment	Construction	Count of employed persons aged 15 years and over	90
East Melbourne	2016	Residents: Income and employment	Industry of employment	Wholesale trade	Count of employed persons aged 15 years and over	56
East Melbourne	2016	Residents: Income and employment	Industry of employment	Retail trade	Count of employed persons aged 15 years and over	165
East Melbourne	2016	Residents: Income and employment	Industry of employment	Accommodation and food services	Count of employed persons aged 15 years and over	167
East Melbourne	2016	Residents: Income and employment	Industry of employment	Transport postal and warehousing	Count of employed persons aged 15 years and over	76
East Melbourne	2016	Residents: Income and employment	Industry of employment	Information media and telecommunications	Count of employed persons aged 15 years and over	93
East Melbourne	2016	Residents: Income and employment	Industry of employment	Financial and insurance services	Count of employed persons aged 15 years and over	223
East Melbourne	2016	Residents: Income and employment	Industry of employment	Rental hiring and real estate services	Count of employed persons aged 15 years and over	59
East Melbourne	2016	Residents: Income and employment	Industry of employment	Professional scientific and technical services	Count of employed persons aged 15 years and over	571
East Melbourne	2016	Residents: Income and employment	Industry of employment	Administrative and support services	Count of employed persons aged 15 years and over	88
East Melbourne	2016	Residents: Income and employment	Industry of employment	Public administration and safety	Count of employed persons aged 15 years and over	191
East Melbourne	2016	Residents: Income and employment	Industry of employment	Education and training	Count of employed persons aged 15 years and over	264
East Melbourne	2016	Residents: Income and employment	Industry of employment	Health care and social assistance	Count of employed persons aged 15 years and over	418
East Melbourne	2016	Residents: Income and employment	Industry of employment	Arts and recreation services	Count of employed persons aged 15 years and over	99
East Melbourne	2016	Residents: Income and employment	Industry of employment	Other services	Count of employed persons aged 15 years and over	77
East Melbourne	2016	Residents: Income and employment	Industry of employment	Inadequately described/ Not stated	Count of employed persons aged 15 years and over	115
Greater Melbourne	2016	Residents: Income and employment	Industry of employment	Agriculture forestry and fishing	Count of employed persons aged 15 years and over	13368
Greater Melbourne	2016	Residents: Income and employment	Industry of employment	Mining	Count of employed persons aged 15 years and over	4500
Greater Melbourne	2016	Residents: Income and employment	Industry of employment	Manufacturing	Count of employed persons aged 15 years and over	162231
Greater Melbourne	2016	Residents: Income and employment	Industry of employment	Electricity gas water and waste services	Count of employed persons aged 15 years and over	21319
Greater Melbourne	2016	Residents: Income and employment	Industry of employment	Construction	Count of employed persons aged 15 years and over	173467
Greater Melbourne	2016	Residents: Income and employment	Industry of employment	Wholesale trade	Count of employed persons aged 15 years and over	74537
Greater Melbourne	2016	Residents: Income and employment	Industry of employment	Retail trade	Count of employed persons aged 15 years and over	214139
